6,14,0.0088336,0.011237,-0.0024036
6,16,0.0072147,0.010481,-0.0032659
6,18,0.005281,0.0094098,-0.0041289
6,20,0.0049477,0.0091424,-0.0041947
6,22,0.0052612,0.0095101,-0.0042489
6,24,0.0047343,0.01002,-0.0052854
6,26,0.0044448,0.0091749,-0.0047301
6,28,0.0033827,0.0081081,-0.0047254
6,30,0.0033153,0.0090336,-0.0057183
7,2,0.021837,0.021624,0.00021346
7,4,0.018398,0.018276,0.00012197
7,6,0.015457,0.01586,-0.00040307
7,8,0.012159,0.013612,-0.0014534
7,10,0.010965,0.012595,-0.0016306
7,12,0.0075863,0.011256,-0.0036695
7,14,0.0071412,0.01179,-0.0046489
7,16,0.0076106,0.010709,-0.0030986
7,18,0.0063226,0.010551,-0.0042286
7,20,0.004506,0.0086253,-0.0041193
7,22,0.0055183,0.0094087,-0.0038905
7,24,0.004057,0.0087883,-0.0047313
7,26,0.0045432,0.0088431,-0.0042999
7,28,0.0037808,0.0083467,-0.0045658
7,30,0.0034579,0.008869,-0.0054111
8,2,0.022331,0.021844,0.00048733
8,4,0.017526,0.017463,6.2369e-05
8,6,0.014981,0.015741,-0.00075949
8,8,0.012738,0.014299,-0.0015611
8,10,0.01029,0.012684,-0.0023939
8,12,0.010144,0.011851,-0.001707
8,14,0.0072523,0.0111,-0.0038474
8,16,0.0084576,0.012021,-0.0035634
8,18,0.0067029,0.010446,-0.0037431
8,20,0.0068198,0.010147,-0.0033268
8,22,0.0058073,0.010506,-0.0046983
8,24,0.0039326,0.010272,-0.0063397
8,26,0.0047865,0.010101,-0.0053143
8,28,0.0051569,0.0097892,-0.0046323
8,30,0.0036773,0.0083998,-0.0047225
9,2,0.022668,0.022094,0.00057353
9,4,0.019077,0.020033,-0.00095651
9,6,0.017397,0.017452,-5.441e-05
9,8,0.015187,0.017236,-0.002049
9,10,0.011849,0.013763,-0.0019137
9,12,0.0089169,0.01108,-0.0021629
9,14,0.0094171,0.012283,-0.0028658
